@relation communication_pattern.2016-0924-1007pattern-weka.filters.supervised.instance.SMOTE-C3-K5-P500.0-S2-weka.filters.supervised.instance.SMOTE-C3-K5-P500.0-S2-weka.filters.supervised.instance.SMOTE-C3-K5-P70.0-S2-weka.filters.supervised.instance.SMOTE-C1-K1-P500.0-S2-weka.filters.supervised.instance.SMOTE-C1-K5-P500.0-S2-weka.filters.supervised.instance.SMOTE-C1-K5-P500.0-S2_predicted

@attribute timeave_1 numeric
@attribute timesd_1 numeric
@attribute dataave_1 numeric
@attribute datasd_1 numeric
@attribute 'prediction margin' numeric
@attribute 'predicted class' {streaming,sencing,kensaku}
@attribute class {streaming,sencing,kensaku}

@data
656.544202,5222.175784,11318.048883,6132.56148,0.333333,streaming,streaming
663.317243,4493.484491,11234.247845,6202.967457,0.333333,streaming,streaming
1313.35613,7001.03304,11016.591433,6534.254951,0.333333,streaming,streaming
789.293512,3850.883413,12220.690052,6167.306095,0.333333,streaming,streaming
1353.472873,6609.61871,11082.171273,6256.731766,0.333333,streaming,streaming
1136.287272,6718.850316,15451.793407,6193.045212,0.333333,streaming,streaming
926.607587,3507.799255,13306.261363,6124.30228,0.333333,streaming,streaming
781.840107,5237.539831,11236.795684,6173.670436,0.333333,streaming,streaming
1236.322992,3957.057392,20939.16134,6317.442607,0.333333,streaming,streaming
600.459111,3800.913704,12262.820925,6177.098048,0.333333,streaming,streaming
1288.09467,7016.465265,11049.432795,6403.626373,0.333333,streaming,streaming
1193.136776,3423.98706,13585.860458,6134.599025,0.333333,streaming,streaming
1133.841416,3348.469214,12763.320669,6131.202026,0.333333,streaming,streaming
1247.275917,3550.166622,16602.054319,6230.174945,0.333333,streaming,streaming
603.406503,3794.308765,11970.007354,6160.149229,0.333333,streaming,streaming
627.912315,4258.389655,12727.074603,6153.085534,0.333333,streaming,streaming
1325.961323,7005.977252,11205.226152,6441.180982,0.333333,streaming,streaming
1182.318165,7029.609293,12316.525646,5867.461684,0.333333,streaming,streaming
1315.668666,7179.795124,11244.677609,6520.111974,0.333333,streaming,streaming
559.200335,6957.038972,12174.822124,6015.096718,0.333333,streaming,streaming
1113.935339,3748.838576,19474.946135,6268.588273,0.333333,streaming,streaming
1314.506559,7002.38884,11058.864824,6195.916359,0.333333,streaming,streaming
609.676858,3373.580733,11946.947052,6095.087574,0.333333,streaming,streaming
1188.688665,3757.901093,19808.254576,6305.338871,0.333333,streaming,streaming
