@relation communication_pattern.2016-0924-1007pattern-weka.filters.supervised.instance.SMOTE-C3-K5-P500.0-S2-weka.filters.supervised.instance.SMOTE-C3-K5-P500.0-S2-weka.filters.supervised.instance.SMOTE-C3-K5-P70.0-S2-weka.filters.supervised.instance.SMOTE-C1-K1-P500.0-S2-weka.filters.supervised.instance.SMOTE-C1-K5-P500.0-S2-weka.filters.supervised.instance.SMOTE-C1-K5-P500.0-S2

@attribute timeave_1 numeric
@attribute timesd_1 numeric
@attribute dataave_1 numeric
@attribute datasd_1 numeric
@attribute class {streaming,kensaku,sencing}

@data
1334.435484,1823.436127,749.629032,910.429981,sencing
422.846535,955.168277,92.227723,13.983286,sencing
460.172973,966.747443,95.351351,21.283436,sencing
2905.793103,8002.593008,96.206897,22.805594,sencing
284.239203,51.282126,934.923588,143.636437,sencing
114.058577,895.75271,413.613668,643.049024,sencing
1938.323529,5084.35291,95.294118,21.176471,sencing
1196.048387,2438.401872,97.258065,24.506046,sencing
2069.658537,2181.764285,2608.97561,1702.776563,sencing
4129.368421,792.867096,622,0,sencing
357,554.34687,90.753138,8.198488,sencing
2544.363636,2645.609855,3095.787879,1410.371556,sencing
290.040678,40.063065,493.620339,40.508525,sencing
3194.521739,6655.640915,101.73913,30.310304,sencing
6583.625,8486.296291,101.25,29.764702,sencing
3555.227273,1482.166349,213.545455,64.053761,sencing
517.631902,830.366701,97.177914,24.382162,sencing
176.566396,1594.778658,422.463415,647.819088,sencing
2204.363636,5394.170983,100.909091,29.373626,sencing
237.334254,1772.269329,432.939227,621.646479,sencing
59.252793,4.459038,70.625698,34.509971,sencing
3257.130435,3770.491195,97.826087,25.35942,sencing
594.363636,45.503792,113.944056,9.580557,sencing
376.649533,723.342536,90.841121,8.659876,sencing
288.080808,44.34932,808.053872,86.998416,sencing
2491.590909,6466.267159,90,0,sencing
3421.28,8667.667089,97.2,24.416388,sencing
1261.052632,3802.889227,94.736842,20.096719,sencing
58.959694,1.528434,867.597637,101.443371,sencing
