@relation 216.58.199.238_clustered

@attribute Instance_number numeric
@attribute length numeric
@attribute Cluster {cluster0}

@data
469,12951,cluster0
470,3898,cluster0
471,66,cluster0
472,132,cluster0
473,66,cluster0
474,7891,cluster0
475,3915,cluster0
476,7970,cluster0
477,3910,cluster0
478,7602,cluster0
479,3965,cluster0
480,7919,cluster0
481,4037,cluster0
482,8220,cluster0
483,4000,cluster0
484,7560,cluster0
485,4022,cluster0
486,7944,cluster0
