@relation 2016-09-weka.filters.unsupervised.attribute.Remove-R5_clustered

@attribute Instance_number numeric
@attribute ﻿time_ave numeric
@attribute time_sd numeric
@attribute data_ave numeric
@attribute data_sd numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3}

@data
172,2961.296296,9483.396058,96.666667,23.570226,cluster1
173,58.959694,1.528434,866.924253,101.345071,cluster3
174,1424.537037,2623.742399,100,28.284271,cluster3
175,214.636592,92.694614,775.135338,408.009689,cluster3
176,1222.977778,3602.082882,94,18.547237,cluster3
177,46738,0,158740,0,cluster2
178,1464.537037,2775.701931,95,20.615528,cluster3
179,1663.686275,1454.059908,3088.921569,2600.637108,cluster3
180,1268.984848,1803.94526,684.545455,848.667497,cluster3
181,340.996,424.951221,91.08,9.799673,cluster3
182,496.390533,859.563018,97.455621,24.807653,cluster3
183,5222.6875,12742.77183,95.625,21.785531,cluster1
184,277.762987,60.043537,918.201299,191.925644,cluster3
185,208.779449,2357.51018,421.844611,660.569797,cluster3
186,4386.4375,9806.903423,95.625,21.785531,cluster1
187,1158.152778,2179.693369,95,20.615528,cluster3
188,1764.886364,1813.92365,2525.477273,1689.266913,cluster3
189,4183.157895,562.312543,622,0,cluster3
190,356.736402,530.448205,91.129707,10.01985,cluster3
191,2192.131579,1630.447213,3136.289474,1276.720695,cluster3
192,290.047458,39.440035,493.59322,40.45467,cluster3
193,3814.933333,11568.11224,90,0,cluster1
194,4054.235294,9042.799069,100.588235,28.997077,cluster1
195,3955.95,1081.846915,243,49.78554,cluster3
196,458.886486,870.355127,97.783784,25.297297,cluster3
197,217.507092,2136.465309,433.074468,716.744144,cluster3
198,9398.833333,17266.16904,90,0,cluster0
199,148.289562,1441.88986,410.218855,712.451463,cluster3
200,59.295105,4.733415,72.369231,36.438098,cluster3
201,2217.394737,3139.868012,101.842105,30.422919,cluster3
202,182.18259,1402.498158,443.509554,718.984159,cluster3
203,598.570422,5.10095,113,0,cluster3
204,322.08502,228.0455,90.728745,8.065728,cluster3
205,290.047458,39.440035,813.532203,66.960232,cluster3
206,7815.272727,15310.79823,90,0,cluster0
207,10618.875,17078.15403,112.5,38.971143,cluster0
208,3270.705882,11080.48128,95.294118,21.176471,cluster1
209,58.959694,1.528434,866.555247,101.796597,cluster3
210,1875.340909,2956.001491,96.136364,22.685188,cluster3
211,224.944737,93.568605,799.576316,379.108403,cluster3
212,1593.238095,5122.518836,98.571429,26.418917,cluster3
213,1235.507246,2403.469109,101.73913,30.310304,cluster3
214,1600.867925,1689.2614,2474.924528,1698.634022,cluster3
215,1259.776119,1843.347797,718.835821,885.906359,cluster3
216,383.685185,684.273211,92.083333,13.533651,cluster3
217,418.658292,694.38104,96.331658,23.016502,cluster3
218,1998.703704,3857.936801,96.666667,23.570226,cluster3
219,275.244373,60.988572,912.482315,200.981672,cluster3
220,257.299401,2270.564504,419.817365,741.160431,cluster3
221,4206.466667,7878.21379,96,22.449944,cluster1
222,2075.390244,3300.661611,96.585366,23.437489,cluster3
223,1571.074074,1784.496774,2398.592593,1703.527327,cluster3
224,4009.6,1283.990202,622,0,cluster3
225,366.175966,658.960769,90.772532,8.302475,cluster3
226,2321.628571,2107.899036,2889.485714,1402.904912,cluster3
227,289.243243,41.448702,493.581081,40.386814,cluster3
228,3433.08,6737.73062,100.8,29.246538,cluster1
229,4451.285714,8155.114569,96.428571,23.178544,cluster1
230,3609.545455,1740.081731,225.818182,64.382124,cluster3
231,566.18421,1088.383576,96.513158,23.318726,cluster3
232,232.016575,2063.759061,448.428177,696.017294,cluster3
233,1430.636364,4066.026501,96.136364,22.685188,cluster3
234,186.189873,1431.17077,459.598101,823.478893,cluster3
235,59.421864,5.470827,72.256482,33.822884,cluster3
236,3185.37037,3725.898193,96.666667,23.570226,cluster3
237,170.530752,1560.475802,1194.849658,10126.70109,cluster2
238,598.521127,5.686305,113,0,cluster3
239,404.175356,741.67459,91.706161,12.273692,cluster3
240,288.265993,43.286065,810.996633,74.953296,cluster3
241,1842.733333,3941.000067,103.866667,36.445149,cluster3
242,1513,3221.512786,90,0,cluster3
243,3037.6,5906.592016,99,27,cluster1
244,58.959694,1.528434,866.269632,101.917636,cluster3
245,1409.928571,2792.14976,94.821429,20.2653,cluster3
246,215.949495,90.472092,770.469697,397.314021,cluster3
247,1705.444444,5291.851201,97.5,24.874686,cluster3
248,930.632184,1985.52941,95.172414,20.946679,cluster3
249,1499.928571,1647.003858,2642.464286,1609.556527,cluster3
