time_ave,time_sd,data_ave,data_sd,class
276.8543689,60.48419641,912.9449838,181.4039108,label
157.1497696,1395.575533,394.5714286,640.4603584,label
12178.5,21351.61917,105,33.54101966,label
1263.432836,2880.062843,95.37313433,21.32396579,label
2571.636364,2491.90629,2468.969697,1720.916449,label
4097.789474,956.1078214,622,0,label
321.6301887,240.9266369,91.01886792,9.521555617,label
1956.071429,1956.53124,3566.52381,775.2170276,label
289.0574324,42.85062141,491.6554054,28.43252155,label
1909.225806,5500.357547,95.80645161,22.11030902,label
13556,0,90,0,label
4298.833333,251.4633285,228,28.77498914,label
606.6737589,1265.70167,94.46808511,19.54901212,label
279.2910798,2475.224907,387.399061,518.8359899,label
2198.909091,5932.965554,100.9090909,29.37362622,label
167.5097656,1433.52432,403.9238281,652.4695964,label
59.21089385,4.169950201,75.58240223,35.05337387,label
2149.925,3924.030819,94.5,19.61504525,label
264.7628866,1912.70344,395.3814433,642.1439676,label
598.556338,5.268194025,113,0,label
365.5917431,577.2642561,91.23853211,10.48493816,label
289.0574324,42.85062141,810.7567568,47.34885221,label
3058.863636,9828.314034,102.2727273,30.88568633,label
1712.54,6807.188028,99,27,label
1538.589286,4880.650717,90,0,label
58.95969423,1.528433833,867.2439194,102.3808563,label
1351.95,2970.132396,99,27,label
222.0051948,91.33884381,789.7012987,376.4725776,label
17878.25,24087.82372,90,0,label
948.7195122,2246.134193,94.3902439,19.38679215,label
1694.857143,1596.217263,2572.142857,1716.952164,label
1311.484375,1863.369369,726.6875,883.008173,label
363.8468085,588.9094157,90.76595745,8.267374396,label
483.6646707,1048.524276,96.46706587,23.24248238,label
1174.518519,4630.15342,93.33333333,16.99673171,label
274.7660256,63.84195028,920.4326923,229.1098898,label
260.4515152,2205.435809,422.7181818,712.2961437,label
4816.588235,8564.254654,95.29411765,21.17647059,label
1219.279412,2342.840645,93.97058824,18.48208241,label
1614.365385,1793.699036,3050.192308,2590.660274,label
4214.736842,962.4960884,622,0,label
428.6582915,1092.857949,91.35678392,10.96675386,label
2648.966667,1872.297172,3379.966667,1092.075134,label
55018,0,156,0,label
286.7558528,49.39957812,498.8494983,139.1205563,label
2554.235294,7515.013737,95.29411765,21.17647059,label
2017.975,5555.506095,94.5,19.61504525,label
3604.409091,1503.894298,240.5454545,70.45870955,label
451.8368421,950.5458043,93.78947368,18.0746375,label
154.3314815,1004.99393,2356.192593,17977.37108,label
8978.888889,14796.15296,110,37.41657387,label
391.0891089,3682.407845,881.5346535,4497.285915,label
59.21074669,4.168498695,70.66434054,35.44370873,label
2705.172414,3537.15245,99.31034483,27.40891303,label
177.2605263,1171.183265,1739.581579,15393.16847,label
594.3776224,38.27263336,113.9440559,9.580557398,label
367.2715517,708.4171523,90.77586207,8.320193763,label
46738,0,555,0,label
287.7214765,47.09599944,813.4765101,66.62462047,label
3662.105263,10067.22388,94.73684211,20.09671904,label
3605.555556,9437.982684,100,28.28427125,label
2961.296296,9483.396058,96.66666667,23.57022604,label
58.95969423,1.528433833,866.924253,101.3450705,label
1424.537037,2623.742399,100,28.28427125,label
214.6365915,92.69461415,775.1353383,408.0096892,label
1222.977778,3602.082882,94,18.54723699,label
46738,0,158740,0,label
1464.537037,2775.701931,95,20.61552813,label
1663.686275,1454.059908,3088.921569,2600.637108,label
1268.984848,1803.94526,684.5454545,848.6674971,label
340.996,424.9512207,91.08,9.799673464,label
496.3905325,859.5630176,97.4556213,24.80765261,label
5222.6875,12742.77183,95.625,21.78553132,label
277.762987,60.04353664,918.2012987,191.9256444,label
208.7794486,2357.51018,421.8446115,660.5697973,label
4386.4375,9806.903423,95.625,21.78553132,label
1158.152778,2179.693369,95,20.61552813,label
1764.886364,1813.92365,2525.477273,1689.266913,label
4183.157895,562.3125431,622,0,label
356.7364017,530.4482055,91.12970711,10.0198504,label
2192.131579,1630.447213,3136.289474,1276.720695,label
290.0474576,39.44003539,493.5932203,40.45466961,label
3814.933333,11568.11224,90,0,label
4054.235294,9042.799069,100.5882353,28.99707657,label
3955.95,1081.846915,243,49.78554007,label
458.8864865,870.3551267,97.78378378,25.2972973,label
217.5070922,2136.465309,433.0744681,716.7441442,label
9398.833333,17266.16904,90,0,label
148.2895623,1441.88986,410.2188552,712.4514628,label
59.2951049,4.733415341,72.36923077,36.43809816,label
