@relation communication_pattern.2016-09-24_to_30pattern

@attribute timeave_1 real
@attribute timesd_1 real
@attribute dataave_1 real
@attribute datasd_1 real
@attribute timeave_2 real
@attribute timesd_2 real
@attribute dataave_2 real
@attribute datasd_2 real
@attribute cluster real
@attribute class {sencing,streaming,kensaku}

@data
33268.5,989.5,180.0,0.0,4594.933333333333,13884.492243586808,90.0,0.0,2,sencing
14788.75,7482.288098402787,180.0,0.0,1226.3382352941173,2226.3880641225765,90.0,0.0,2,sencing
134.8771653543307,63.06515090052948,980.593700787,12.324559362083823,106.24129353233829,50.719269168566115,776.487562189,6.6002483390157,2,sencing
4828.5,4170.5,180.0,0.0,1761.052631578947,5371.9481957928965,90.0,0.0,2,sencing
23678.66666666667,25059.011690186206,180.0,0.0,361.2838983050848,532.3496444800401,90.0,0.0,2,sencing
290.0474576271186,39.440035393511245,954.345762712,86.64035800126709,6598.923076923077,8013.694053225279,98.0,0.0,2,sencing
55558.0,0.0,180.0,0.0,3475.1875,11390.358445955237,90.0,0.0,2,sencing
6086.615384615385,2959.931484094276,270.0,0.0,10661.714285714286,7774.801691807886,192.857142857,56.68819119012498,2,sencing
15827.4,16347.439011661734,6177.2,318.6053357996379,211.44162436548226,2376.1587689637345,348.807106599,122.10839551015621,2,sencing
2773.964285714286,2163.408776546581,3788.07142857,89.0304637154483,4798.9375,4944.8131975428305,315.9375,402.2103723100015,2,sencing
2571.696969696969,2101.201683378643,3778.03030303,88.08277265902859,4156.95,3265.1756227651813,324.8,456.6406245615912,2,sencing
598.5704225352113,5.1009497697838775,113.0,0.0,0,0,0,0,1,sencing
9147.666666666666,8933.847373270315,6277.66666667,339.9468912769889,189.81290322580642,1447.3081344214688,346.990322581,145.48309923978158,2,sencing
2651.875,2254.537365930093,3787.90625,165.8537306211033,3825.0,2794.104117276559,377.77272727300004,437.98131257542167,2,sencing
110.97662337662338,112.09617611804032,98.0727272727,25.932678258384428,129.9619482496195,147.93441329623224,42.0,0.0,2,sencing
20436.33333333333,14705.157855512996,180.0,0.0,1860.575757575757,5517.763002095242,90.0,0.0,2,sencing
5287.0,4932.9073432553805,180.0,0.0,450.4162162162162,714.7688076473984,90.0,0.0,2,sencing
9535.0,7444.0,180.0,0.0,3375.222222222222,6136.902073662932,90.0,0.0,2,sencing
289.24324324324317,41.44870187085087,953.5810810810001,86.08850046518866,5658.466666666666,5068.9921400171415,101.46666666700001,12.971078940816328,2,sencing
598.5211267605633,5.686304661398407,113.0,0.0,0,0,0,0,1,sencing
2244.7297297297296,2059.030795992589,3773.16216216,101.98291152920523,4422.789473684211,4124.295864354461,440.57894736800006,526.7311624078486,2,sencing
11485.0,10234.0,1624.0,0.0,290.2271186440678,50.354666962637204,805.484745763,33.830769334274834,2,sencing
20755.0,2404.0,180.0,0.0,2158.68,3967.7793357998135,90.0,0.0,2,sencing
12987.0,13742.98919449477,194.0,24.248711305964278,2126.3846153846152,4175.580688100787,90.0,0.0,2,sencing
3250.68,2765.242075768413,3759.56,74.41617028576515,6688.2,7414.187059954718,714.3,500.6467916605479,2,sencing
19256.33333333333,15678.505484331798,180.0,0.0,2239.315789473684,3381.196223273208,90.0,0.0,2,sencing
28576.33333333333,17738.395668404988,180.0,0.0,3901.363636363637,7505.8644378031295,90.0,0.0,2,sencing
31440.0,31381.0,144135.0,18981.0,171.31578947368422,1564.0151640754075,540.661327231,2726.316140446257,2,kensaku
